feature,importance_mean_auc_drop,importance_sd
STDs:HIV,0.05428362216255801,0.0031583746389302852
STDs:vulvo-perineal condylomatosis,0.04415425921405913,0.015335380470791426
STDs:condylomatosis,0.0361728093727118,0.012927449645044149
Hormonal Contraceptives,0.03312179643641694,0.02935556224182232
Hormonal Contraceptives (years),0.027752013668538,0.034131056482680146
Smokes (years),0.017793507444471612,0.009538198419630578
STDs:syphilis,0.016011715889675437,0.018346452911926076
First sexual intercourse,0.014693678301196033,0.015642833426785564
STDs:vaginal condylomatosis,0.010446668293873574,0.017306636305189922
STDs (number),0.006297290700512626,0.002589560597485946
Num of pregnancies,0.006150842079570484,0.02596494538988526
Dx:CIN,0.00602880156211868,0.008679852435864246
STDs: Number of diagnosis,0.0031974615572370134,0.0016170253429389288
Smokes,0.0017085672443251875,0.005466543394354675
Age,0.0017085672443251764,0.004795431463116555
Smokes (packs/year),0.0009763241396143818,0.006141924720547382
Dx,0.00046375396631685993,0.004777321222431378
STDs:pelvic inflammatory disease,-0.0003661215523553807,0.0003973351378105845
STDs:AIDS,-0.0003661215523553807,0.0003973351378105845
STDs:molluscum contagiosum,-0.0003661215523553807,0.0003973351378105845
STDs:genital herpes,-0.0003661215523553807,0.0003973351378105845
STDs:cervical condylomatosis,-0.0003661215523553807,0.0003973351378105845
STDs:HPV,-0.0003661215523553807,0.0003973351378105845
STDs:Hepatitis B,-0.0003661215523553807,0.0003973351378105845
IUD,-0.0011959970710275325,0.006339954961097002
Dx:Cancer,-0.002367586038564773,0.009635514276277232
Dx:HPV,-0.003148645350256285,0.01149486929622304
Number of sexual partners,-0.004442274835245253,0.01774010783107075
IUD (years),-0.0053941908713692425,0.008732133343967004
STDs,-0.01750061020258723,0.006920934853153848
