feature,importance_mean_auc_drop,importance_sd
STDs:HIV,0.02240663900414943,0.004712470966941782
STDs,0.015157432267512894,0.00801719819296613
STDs:syphilis,0.014596045887234621,0.011906952367196218
STDs: Number of diagnosis,0.013741762265072033,0.008722986315393002
STDs (number),0.013253600195264881,0.00734359483246998
STDs:vaginal condylomatosis,0.011105687088113315,0.00844975264812814
STDs:vulvo-perineal condylomatosis,0.010202587258970008,0.009034823616414243
STDs:condylomatosis,0.010056138638027845,0.009076270695052673
STDs:molluscum contagiosum,0.004295826214303233,0.004915915657419729
STDs:cervical condylomatosis,0.004271418110812874,0.0049630143873312885
STDs:pelvic inflammatory disease,0.004271418110812874,0.0049630143873312885
STDs:Hepatitis B,0.004271418110812874,0.0049630143873312885
STDs:genital herpes,0.004271418110812874,0.0049630143873312885
STDs:AIDS,0.004271418110812874,0.0049630143873312885
STDs:HPV,0.004271418110812874,0.0049630143873312885
Num of pregnancies,0.0011227727605565563,0.014050759620491713
Smokes (packs/year),-0.00034171344886496646,0.004384228092617561
Number of sexual partners,-0.001830607761776848,0.005849039280606194
Dx:HPV,-0.0018550158652672621,0.0016811496565997074
Dx:Cancer,-0.0019038320722479796,0.0018193453896591808
Smokes,-0.002074688796680413,0.00716888063698934
Dx,-0.0022211374176226316,0.010906599292328366
Dx:CIN,-0.002538442762997262,0.015502201232875183
Smokes (years),-0.0027581156944104677,0.010197827152280476
Hormonal Contraceptives,-0.004271418110812697,0.008548587624260357
Age,-0.00947034415425918,0.007637669612144185
First sexual intercourse,-0.015572370026848848,0.00955152431277717
IUD (years),-0.016011715889675305,0.014951711702826108
Hormonal Contraceptives (years),-0.016158164510617502,0.028791383381928392
IUD,-0.025335611422992364,0.015034599258282964
