feature,importance_mean_auc_drop,importance_sd
First sexual intercourse,0.035525994630217196,0.038256984922691195
Number of sexual partners,0.020905540639492293,0.020217075352243662
Hormonal Contraceptives,0.018232853307297993,0.01018569782040734
Hormonal Contraceptives (years),0.016878203563583084,0.018106474239661174
STDs,0.012618989504515454,0.00677653531891426
STDs (number),0.011264339760800556,0.00968159816601161
STDs:vulvo-perineal condylomatosis,0.011008054674151769,0.01065138985922469
STDs: Number of diagnosis,0.010739565535757833,0.006208492722468568
STDs:HIV,0.008030266048328016,0.0075131377855800555
STDs:condylomatosis,0.006565779838906471,0.007666786956100721
Smokes (packs/year),0.006541371735416135,0.010231217849972937
IUD,0.005857944837686068,0.014925809741154716
IUD (years),0.005699292164998726,0.016719288100855028
Smokes (years),0.005467415181840352,0.006800581221576449
STDs:syphilis,0.004698559921894052,0.00258094776452972
STDs:AIDS,0.004369050524774221,0.010468316609387573
STDs:genital herpes,0.00208689284842567,0.002255901716945433
STDs:HPV,0.0013790578472052562,0.00426166116016034
Dx,0.0011837930192823865,0.006369077015003915
STDs:Hepatitis B,0.0009153038808883962,0.005381211903408312
Dx:Cancer,0.0008176714669270169,0.0030476183214532613
Smokes,0.0007688552599462994,0.007748957826451373
Dx:CIN,0.0007322431047107614,0.004798846681321226
Dx:HPV,0.00013424456919697292,0.0024233264452095953
STDs:vaginal condylomatosis,-0.0007932633634366692,0.004162011091044898
STDs:molluscum contagiosum,-0.0017085672443251433,0.005854638640670671
Num of pregnancies,-0.002147913107151589,0.03491208712114311
STDs:cervical condylomatosis,-0.002489626556016633,0.007080706264502533
STDs:pelvic inflammatory disease,-0.004161581645106172,0.007772831358460819
Age,-0.024993897974127443,0.032383206970919336
