method,fpr,tpr,threshold
Logistic regression,0.0,0.0,inf
Logistic regression,0.004149377593360996,0.0,0.9701723195531494
Logistic regression,0.008298755186721992,0.0,0.9630099080884632
Logistic regression,0.008298755186721992,0.058823529411764705,0.9623210785249563
Logistic regression,0.03319502074688797,0.058823529411764705,0.8460585689151935
Logistic regression,0.03319502074688797,0.11764705882352941,0.8435644364558652
Logistic regression,0.06224066390041494,0.11764705882352941,0.7649853086319052
Logistic regression,0.06224066390041494,0.17647058823529413,0.7370800157519325
Logistic regression,0.07468879668049792,0.17647058823529413,0.6984859331969239
Logistic regression,0.07468879668049792,0.23529411764705882,0.6940786853320093
Logistic regression,0.0912863070539419,0.23529411764705882,0.6642741088004122
Logistic regression,0.0912863070539419,0.29411764705882354,0.6597063644693966
Logistic regression,0.12863070539419086,0.29411764705882354,0.6114817655447516
Logistic regression,0.12863070539419086,0.35294117647058826,0.6100307215393894
Logistic regression,0.14522821576763487,0.35294117647058826,0.5971712606039233
Logistic regression,0.14522821576763487,0.4117647058823529,0.591015716556211
Logistic regression,0.2033195020746888,0.4117647058823529,0.5388853430183013
Logistic regression,0.2033195020746888,0.47058823529411764,0.5354061012744619
Logistic regression,0.2074688796680498,0.47058823529411764,0.5336002772197657
Logistic regression,0.2074688796680498,0.5294117647058824,0.521634727307853
Logistic regression,0.23236514522821577,0.5294117647058824,0.49994278447843216
Logistic regression,0.23236514522821577,0.5882352941176471,0.4964353237307075
Logistic regression,0.25311203319502074,0.5882352941176471,0.4918855993028502
Logistic regression,0.25311203319502074,0.6470588235294118,0.485071347303956
Logistic regression,0.3153526970954357,0.6470588235294118,0.4508094453768091
Logistic regression,0.3153526970954357,0.7058823529411765,0.4507838272428238
Logistic regression,0.6473029045643154,0.7058823529411765,0.34370272477027697
Logistic regression,0.6473029045643154,0.7647058823529411,0.34357541820109816
Logistic regression,0.6929460580912863,0.7647058823529411,0.33142411061514176
Logistic regression,0.6929460580912863,0.8235294117647058,0.33106342486535306
Logistic regression,0.7800829875518672,0.8235294117647058,0.2967179683974069
Logistic regression,0.7800829875518672,0.8823529411764706,0.29403190052315986
Logistic regression,0.8298755186721992,0.8823529411764706,0.24220421782289703
Logistic regression,0.8298755186721992,0.9411764705882353,0.23586341893186136
Logistic regression,0.8547717842323651,0.9411764705882353,0.1905086398328915
Logistic regression,0.8547717842323651,1.0,0.1853754196704286
Logistic regression,0.979253112033195,1.0,0.02102651550268118
Logistic regression,0.9875518672199171,1.0,0.01783508361213786
Logistic regression,1.0,1.0,0.005545612804355229
Radial SVM,0.0,0.0,inf
Radial SVM,0.004149377593360996,0.0,0.27457952386265033
Radial SVM,0.016597510373443983,0.0,0.16624951664985474
Radial SVM,0.016597510373443983,0.058823529411764705,0.16266242797506922
