feature,coefficient,abs_coefficient
num__missingindicator_Hormonal Contraceptives,-0.4033548956145678,0.4033548956145678
num__missingindicator_Hormonal Contraceptives (years),-0.4033548956145678,0.4033548956145678
num__Hormonal Contraceptives (years),0.38814907010201577,0.38814907010201577
num__STDs:syphilis,-0.26548202294102086,0.26548202294102086
num__missingindicator_Number of sexual partners,-0.22224383398055297,0.22224383398055297
num__Num of pregnancies,0.20606102879430713,0.20606102879430713
num__Dx:HPV,0.19628366338539374,0.19628366338539374
num__STDs:HPV,-0.1800983538188965,0.1800983538188965
num__STDs:HIV,0.17024957425942888,0.17024957425942888
num__Hormonal Contraceptives,-0.16131126025150674,0.16131126025150674
num__First sexual intercourse,-0.1612134758871838,0.1612134758871838
num__Dx:Cancer,0.13764297648831697,0.13764297648831697
num__STDs:vulvo-perineal condylomatosis,0.12525948107480683,0.12525948107480683
num__missingindicator_IUD,0.12030343820537251,0.12030343820537251
num__missingindicator_IUD (years),0.12030343820537251,0.12030343820537251
num__missingindicator_Num of pregnancies,0.11874569689408321,0.11874569689408321
num__Dx:CIN,0.11677217792559254,0.11677217792559254
num__STDs:condylomatosis,0.10900493157045733,0.10900493157045733
num__missingindicator_First sexual intercourse,-0.1075367488874995,0.1075367488874995
num__STDs:vaginal condylomatosis,-0.10544879964608903,0.10544879964608903
num__Smokes (packs/year),-0.10428207493061104,0.10428207493061104
num__IUD (years),0.09530699569651295,0.09530699569651295
num__STDs,-0.08951415113553635,0.08951415113553635
num__STDs:Hepatitis B,-0.08909822940208219,0.08909822940208219
num__Smokes (years),0.08770372442208585,0.08770372442208585
num__Dx,0.07536909603821366,0.07536909603821366
num__Age,-0.0608736225881897,0.0608736225881897
num__missingindicator_Smokes (years),0.054892956833871374,0.054892956833871374
num__missingindicator_Smokes (packs/year),0.054892956833871374,0.054892956833871374
num__missingindicator_Smokes,0.054892956833871374,0.054892956833871374
num__Number of sexual partners,0.04482935492967348,0.04482935492967348
num__STDs:pelvic inflammatory disease,-0.04442274587213259,0.04442274587213259
num__Smokes,0.031177565247672935,0.031177565247672935
num__STDs (number),0.029549253822806015,0.029549253822806015
num__STDs: Number of diagnosis,0.016829369005269518,0.016829369005269518
num__IUD,0.01621163712925263,0.01621163712925263
num__missingindicator_STDs,-0.0043373595884928515,0.0043373595884928515
num__missingindicator_STDs (number),-0.0043373595884928515,0.0043373595884928515
num__missingindicator_STDs:syphilis,-0.0043373595884928515,0.0043373595884928515
num__missingindicator_STDs:pelvic inflammatory disease,-0.0043373595884928515,0.0043373595884928515
num__missingindicator_STDs:genital herpes,-0.0043373595884928515,0.0043373595884928515
num__missingindicator_STDs:molluscum contagiosum,-0.0043373595884928515,0.0043373595884928515
num__missingindicator_STDs:condylomatosis,-0.0043373595884928515,0.0043373595884928515
num__missingindicator_STDs:cervical condylomatosis,-0.0043373595884928515,0.0043373595884928515
num__missingindicator_STDs:vaginal condylomatosis,-0.0043373595884928515,0.0043373595884928515
num__missingindicator_STDs:vulvo-perineal condylomatosis,-0.0043373595884928515,0.0043373595884928515
num__missingindicator_STDs:AIDS,-0.0043373595884928515,0.0043373595884928515
num__missingindicator_STDs:HIV,-0.0043373595884928515,0.0043373595884928515
num__missingindicator_STDs:Hepatitis B,-0.0043373595884928515,0.0043373595884928515
num__missingindicator_STDs:HPV,-0.0043373595884928515,0.0043373595884928515
num__STDs:AIDS,0.0,0.0
num__STDs:molluscum contagiosum,0.0,0.0
num__STDs:genital herpes,0.0,0.0
num__STDs:cervical condylomatosis,0.0,0.0
